date,Year ,Month ,Total_Renewable_Energy_Consumption,Hydro_Consumption,Biofuelss_consumption,Geothermal_consumption,Solar_Energy_consumption,Biomas_consumption,Waste_energy_consumption,Wind_Energy_consumption,Wood_energy_consumption,Total_Renewable_Energy_Production ,Biofuel_production,Biomass_production,Wood_Energy_production,CPU_INDEX,Industrial_production ,WTI_Crud_OIL_Price,Producer_price_Index 
40544,2011,1,739.991,248.06,152.681,18.48,5.52,384.854,38.536,83.077,193.637,755.847,168.537,400.71,193.637,90.7,93.4768,89.17,192.7
40575,2011,2,711.419,234.459,143.489,16.676,6.363,352.374,35.781,101.547,173.103,718.372,150.443,359.327,173.103,64.26,93.0617,88.58,195.8
40603,2011,3,816.485,302.503,159.375,18.388,8.813,384.329,38.511,102.452,186.444,827.115,170.005,394.959,186.444,106.51,94.0244,102.86,199.2
40634,2011,4,815.314,303.084,152.763,17.258,9.997,364.286,35.683,120.689,175.84,824.509,161.958,373.481,175.84,87.35,93.7011,109.53,203.1
40664,2011,5,839.427,316.615,163.997,18.194,11.13,379.11,37.199,114.378,177.915,845.59,170.159,385.273,177.915,84.4,93.849,100.9,204.1
40695,2011,6,836.745,312.381,166.881,17.02,11.526,389.087,38.056,106.731,184.151,837.331,167.467,389.673,184.151,90.63,94.0844,96.26,203.9
40725,2011,7,795.956,303.962,161.191,17.723,11.684,389.828,39.34,72.76,189.298,805.582,170.816,399.454,189.298,67.43,94.5881,97.3,204.6
40756,2011,8,755.093,250.319,173.499,17.777,11.952,402.432,39.447,72.613,189.485,755.593,173.999,402.931,189.485,31.82,95.1605,86.33,203.2
40787,2011,9,682.677,207.705,159.099,17.127,10.674,380.432,37.73,66.739,183.603,689.463,165.886,387.218,183.603,214.23,95.0855,85.52,203.7
40817,2011,10,711.034,192.254,166.454,17.836,9.628,389.052,39.843,102.265,182.755,719.976,175.396,397.994,182.755,74.09,95.6902,86.32,201.1
40848,2011,11,737.006,200.932,166.258,17.57,7.674,389.976,40.352,120.853,183.367,747.922,177.173,400.892,183.367,109.32,95.7307,97.16,201.4
40878,2011,12,770.571,230.58,175.792,18.261,7.467,410.732,41.317,103.532,193.623,780.363,185.585,420.525,193.623,76.31,96.2047,98.56,199.8
40909,2012,1,752.512,219.888,155.006,17.4,7.288,378.211,38.397,129.726,184.808,773.686,176.18,399.385,184.808,68.8,96.7772,100.27,200.7
40940,2012,2,684.077,193.017,151.441,16.387,8.165,361.337,36.328,105.171,173.569,695.769,163.132,373.028,173.569,56.86,97.051,102.2,201.6
40969,2012,3,790.323,246.546,163.671,17.608,11.678,381.016,39.878,133.476,177.467,797.381,170.729,388.074,177.467,31.45,96.5714,106.16,204.2
41000,2012,4,766.976,250.215,159.812,17.084,13.478,365.258,37.232,120.941,168.213,770.699,163.535,368.981,168.213,32.64,97.3139,103.32,203.7
41030,2012,5,810.241,272.562,169.175,17.787,15.933,384.623,38.198,119.336,177.25,812.936,171.87,387.318,177.25,24.11,97.4669,94.66,201.9
41061,2012,6,779.586,253.685,164.569,17.361,16.651,377.961,37.006,113.928,176.385,779.418,164.401,377.792,176.385,74.17,97.4577,82.3,199.8
41091,2012,7,751.798,252.091,157.657,17.946,17.063,380.753,39.306,83.946,183.79,750.908,156.766,379.862,183.79,59.02,97.6786,87.9,200.1
41122,2012,8,725.68,219.192,167.16,17.786,16.478,391.634,39.276,80.59,185.198,720.315,161.795,386.269,185.198,83.16,97.2842,94.13,202.7
41153,2012,9,650.037,167.517,149.452,17.576,15.384,365.918,37.263,83.642,179.203,651.074,150.489,366.955,179.203,91.43,97.2295,94.51,204.4
41183,2012,10,689.175,157.02,158.729,18.027,14.153,379.735,40.766,120.241,180.24,683.416,152.97,373.976,180.24,87.26,97.5344,89.49,203.5
41214,2012,11,688.042,178.257,149.976,18.023,11.547,369.367,40.671,110.848,178.719,687.577,149.512,368.902,178.719,126.47,97.9837,86.53,201.8
41244,2012,12,767.801,218.713,152.468,18.608,11.142,381.123,42.283,138.215,186.371,769.695,154.363,383.017,186.371,64.37,98.2122,87.86,201.5
41275,2013,1,796.939,236.889,149.313,18.578,10.449,390.403,41.432,140.62,199.658,797.909,150.283,391.373,199.658,118.53,98.1664,94.76,202.5
41306,2013,2,713.927,194.813,139.427,16.666,12.205,355.949,36.992,134.295,179.53,711.921,137.42,353.942,179.53,25.14,98.6458,95.31,204.3
41334,2013,3,781.124,195.918,161.223,18.543,17.039,399.3,42.16,150.325,195.918,779.308,159.406,397.483,195.918,36.75,99.0597,92.94,204
41365,2013,4,830.311,239.451,161.985,17.376,18.627,388.116,40.77,166.741,185.361,828.314,159.988,386.118,185.361,70.78,98.9927,92.02,203.5
41395,2013,5,869.837,271.442,170.279,17.87,20.722,404.869,41.47,154.933,193.12,869.377,169.818,404.408,193.12,22.71,99.0726,94.51,204.1
41426,2013,6,838.733,261.271,173.475,17.415,21.97,406.906,40.437,131.171,192.995,833.354,168.095,401.526,192.995,65.5,99.2065,95.77,204.3
41456,2013,7,825.682,260.036,172.658,18.148,22.251,419.402,41.963,105.844,204.781,825.361,172.338,419.082,204.781,58.18,98.9204,104.67,204.4
41487,2013,8,756.187,206.403,172.085,18.011,23.202,416.654,42.198,91.917,202.372,752.856,168.754,413.323,202.372,11.78,99.4996,106.57,204.2
41518,2013,9,715.542,161.826,172.305,17.616,21.998,402.72,39.914,111.382,190.5,707.784,164.548,394.962,190.5,95.77,100.0568,106.29,203.9
41548,2013,10,756.143,164.092,185.2,18.402,21.221,422.336,41.976,130.092,195.16,750.915,179.972,417.108,195.16,98.58,99.9168,100.54,202.5
41579,2013,11,768.3,168.655,177.02,16.959,17.543,414.363,42.268,150.779,195.075,769.349,178.069,415.412,195.075,39.82,100.1762,93.86,201.2
41609,2013,12,806.231,201.585,187.024,18.423,17.297,435.667,44.857,133.26,203.786,806.275,187.068,435.711,203.786,68.49,100.3658,97.63,202
41640,2014,1,824.358,205.737,164.078,18.279,16.542,413.464,44.923,170.336,204.463,831.339,171.059,420.445,204.463,67.63,100.038,94.62,203.8
41671,2014,2,711.494,165.437,151.965,16.342,17.939,378.554,40.827,133.222,185.762,714.633,155.104,381.693,185.762,95.92,100.7918,100.82,205.7
41699,2014,3,861.374,230.685,169.433,18.114,26.187,417.72,44.532,168.668,203.755,866.713,174.772,423.059,203.755,62.91,101.7782,100.8,207
41730,2014,4,872.05,241.934,169.343,17.711,29.029,406.152,43.899,177.224,192.91,874.26,171.553,408.362,192.91,86.5,101.8337,102.07,208.3
41760,2014,5,869.661,252.432,178.404,18.064,33.086,417.709,43.127,148.369,196.178,871.439,180.182,419.487,196.178,162.75,102.2325,102.18,208
41791,2014,6,865.531,244.824,175.337,17.519,34.867,418.074,42.412,150.247,200.325,869.655,179.46,422.198,200.325,90.9,102.5722,105.79,208.3
41821,2014,7,833.144,231.639,181.682,17.942,34.299,433.361,44.994,115.902,206.684,836.69,185.228,436.907,206.684,50.27,102.8479,103.59,208
41852,2014,8,771.349,188.367,182.302,18.034,35.031,433.196,42.954,96.722,207.939,768.631,179.584,430.477,207.939,62.79,102.6491,96.54,207
41883,2014,9,722.573,152.867,172.837,17.654,33.184,409.315,40.635,109.553,195.842,723.813,174.078,410.555,195.842,60.52,102.9858,93.21,206.4
41913,2014,10,775.278,163.184,182.126,18.185,30.86,425.079,42.467,137.97,200.486,774.331,181.178,424.131,200.486,45.52,102.9911,84.4,203.4
41944,2014,11,815.457,177.123,175.495,18.176,25.046,415.687,41.549,179.424,198.644,819.067,179.105,419.297,198.644,165.87,103.6669,75.79,200.9
41974,2014,12,829.934,212.347,186.218,18.469,21.35,437.864,43.558,139.904,208.088,838.199,194.482,446.128,208.088,61.58,103.6139,59.29,197
42005,2015,1,816.414,224.946,165.66,18.085,21.048,411.039,43.145,141.296,202.234,831.203,180.45,425.828,202.234,66.31,102.8479,47.22,192
42036,2015,2,768.899,207.684,159.488,16.614,25.062,380.485,38.436,139.054,182.561,773.195,163.785,384.781,182.561,45.86,102.2292,50.58,191.1
42064,2015,3,835.508,226.274,177.801,18.384,34.925,413.27,42.831,142.655,192.639,839.624,181.918,417.387,192.639,43.8,101.8945,47.82,191.5
42095,2015,4,834.147,209.407,172.421,17.077,39.575,401.584,41.652,166.504,187.51,836.058,174.332,403.495,187.51,28.32,101.2859,54.45,190.9
42125,2015,5,831.136,187.549,187.373,18.348,42.535,422.871,42.339,159.833,193.159,829.345,185.582,421.08,193.159,88.89,100.8408,59.27,193.4
42156,2015,6,796.447,190.239,188.216,17.349,43.229,420.558,41.985,125.073,190.357,794.427,186.196,418.538,190.357,58.88,100.5063,59.82,194.8
42186,2015,7,821.888,195.832,190.926,18.036,44.959,435.619,45.608,127.442,199.086,820.461,189.498,434.192,199.086,31.03,101.1831,50.9,193.9
42217,2015,8,798.487,178.199,191.217,17.919,45.266,435.21,44.071,121.893,199.922,794.255,186.985,430.977,199.922,59.96,100.9115,42.87,191.9
42248,2015,9,751.552,149.981,184.441,16.429,38.976,415.965,41.867,130.201,189.658,744.6,177.489,409.013,189.658,105.46,100.568,45.48,189.1
42278,2015,10,777.787,154.979,185.773,17.722,34.293,418.147,44.543,152.646,187.832,777.098,185.084,417.458,187.832,135.23,100.1588,46.22,187.5
42309,2015,11,825.794,180.209,180.408,17.647,29.646,414.878,45.15,183.414,189.32,828.949,183.564,418.033,189.32,190.28,99.4099,42.44,185.7
42339,2015,12,879.38,215.88,186.522,18.225,27.219,430.759,46.745,187.297,197.492,884.658,191.801,436.037,197.492,163.66,98.8329,37.19,183.5
42370,2016,1,858.167,236.473,173.032,17.675,26.077,407.459,42.164,170.482,192.264,876.979,186.927,426.271,197.18,139.61,99.4797,31.68,182.6
42401,2016,2,856.335,222.851,174.53,16.51,35.136,395.921,40.467,185.916,180.924,865.518,177.091,405.105,187.546,37.72,98.9583,30.32,181.3
42430,2016,3,935.049,252.863,189.619,17.52,43.408,418.714,43.543,202.545,185.552,944.085,192.78,427.749,191.425,60.36,98.1954,37.55,182.1
42461,2016,4,887.802,238.906,175.988,16.366,48.072,392.439,42.678,192.019,173.773,894.299,177.577,398.935,178.68,118.23,98.4673,40.75,183.2
42491,2016,5,902.029,235.29,195.507,17.766,55.33,419.639,42.94,174.004,181.192,904.902,191.879,422.512,187.693,91.72,98.2889,46.71,185.3
42522,2016,6,855.817,214.523,194.929,16.758,56.391,417.632,40.067,150.513,182.637,861.625,192.528,423.44,190.845,93.84,98.7201,48.76,187.6
42552,2016,7,873.608,198.076,203.381,17.484,61.657,433.739,41.448,162.653,188.91,873.028,198.682,433.159,193.029,75.65,98.8992,44.65,187.7
42583,2016,8,825.064,180.666,207.6,17.604,61.142,440.195,41.958,125.457,190.636,825.493,201.992,440.624,196.674,91.67,98.7249,44.72,186.6
42614,2016,9,790.439,151.106,196.366,17.453,55.455,414.986,39.307,151.438,179.313,791.043,189.972,415.591,186.312,107.86,98.606,45.18,186.9
42644,2016,10,833.077,160.072,197.747,17.871,49.045,418.353,40.714,187.736,179.892,838.23,196.795,423.506,185.996,87.51,98.6703,49.78,186.7
42675,2016,11,836.772,173.638,198.396,17.796,41.405,424.781,43.322,179.153,183.063,839.051,195.866,427.06,187.872,297.41,98.2288,45.66,186.3
42705,2016,12,936.511,207.976,206.021,18.801,37.1,458.954,44.61,213.679,208.323,945.113,207.146,467.556,215.8,296.74,98.8958,51.97,188.2
42736,2017,1,907.225,245.323,183.987,18.356,36.265,415.662,44.422,191.619,187.254,929.663,199.863,438.101,193.816,363.4,98.7446,52.5,190.7
42767,2017,2,860.788,220.023,169.439,16.285,41.848,379.107,39.585,203.525,170.084,876.888,180.11,395.207,175.513,181.28,98.3676,53.47,191.6
42795,2017,3,1016.377,272.826,193.669,18.173,65.102,423.219,43.377,237.056,186.172,1029.211,199.55,436.053,193.126,247.83,99.1065,49.33,191.5
42826,2017,4,996.015,270.949,187.525,17.576,71.374,402.309,40.534,233.807,174.25,1000.658,186.327,406.952,180.091,202.09,100.0363,51.06,193
42856,2017,5,1036.661,300.409,204.523,17.387,82.185,424.158,41.368,212.522,178.267,1038.024,200.508,425.521,183.645,170.26,100.147,48.48,192.8
42887,2017,6,992.844,281.69,201.156,17.046,85.986,422.556,40.044,185.566,181.356,992.546,194.179,422.257,188.034,263.1,100.3042,45.18,193.6
42917,2017,7,922.022,245.05,199.383,18.04,81.763,428.656,41.027,148.514,188.246,927.082,198.896,433.717,193.794,186.36,100.2092,46.63,193.5
42948,2017,8,867.718,202.998,208.648,17.95,79.021,439.883,41.128,127.866,190.107,872.462,206.886,444.627,196.612,173.71,99.7055,48.04,193.8
42979,2017,9,838.121,176.445,193.187,17.486,73.142,406.026,38.225,165.021,174.614,847.508,195.192,415.414,181.996,151.62,99.7485,49.82,194.8
43009,2017,10,892.546,163.053,200.337,16.579,66.56,421.845,40.436,224.509,181.072,902.819,204.333,432.118,187.35,133.2,100.988,51.58,194.9
43040,2017,11,877.895,183.231,197.403,17.239,48.172,420.901,41.676,208.351,181.822,894.114,206.577,437.12,188.867,221.65,101.273,56.64,195.9
43070,2017,12,907.303,204.969,199.405,18.115,45.508,434.175,43.437,204.535,191.333,925.651,208.728,452.524,200.359,104.52,101.3696,57.88,196.3
43101,2018,1,955.753,228.183,188.326,17.604,48.528,428.385,43.328,233.052,196.731,974.596,201.588,447.228,202.312,92.65,101.3561,63.7,197.9
43132,2018,2,895.453,226.71,169.195,16.471,55.447,385.708,40.156,211.117,176.356,920.825,186.742,411.08,184.181,52.6,101.6495,62.23,199.3
43160,2018,3,996.532,235.435,192.695,17.836,73.556,428.779,43.24,240.926,192.844,1014.901,205.244,447.148,198.665,76.87,102.298,62.73,199.3
43191,2018,4,1003.584,255.96,183.592,16.034,86.122,404.841,40.661,240.627,180.587,1022.044,194.759,423.301,187.88,148.38,103.4095,66.25,200.3
43221,2018,5,1046.189,277.165,206.669,17.981,96.405,436.569,40.753,218.069,189.147,1052.396,204.949,442.777,197.076,91.87,102.5408,69.98,203.2
43252,2018,6,1016.689,251.248,195.895,17.053,102.097,421.397,38.993,224.895,186.51,1031.565,201.974,436.273,195.307,94.04,103.3045,67.87,204.2
43282,2018,7,930.676,228.506,201.855,17.862,97.077,437.502,39.5,149.73,196.147,946.558,211.001,453.383,202.882,90.34,103.5474,70.98,204.3
43313,2018,8,937.311,200.442,208.916,17.839,95.071,443.277,39.888,180.682,194.473,951.261,214.619,457.227,202.72,123.58,104.1659,68.06,203.4
43344,2018,9,850.755,174.484,187.61,17.308,84.51,405.85,36.521,168.603,181.719,870.109,198.435,425.203,190.247,47.82,104.1315,70.23,203.6
43374,2018,10,888.48,177.967,200.686,16.983,72.291,428.289,40.945,192.949,186.657,907.085,209.895,446.895,196.054,111.89,103.9874,70.75,204.6
43405,2018,11,891.923,199.493,193.431,17.335,55.62,419.043,40.939,200.431,184.672,911.077,203.857,438.197,193.401,176.67,103.9127,56.96,202.3
43435,2018,12,929.196,207.545,195.357,18.558,48.381,433.427,42.423,221.284,195.646,949.759,206.744,453.99,204.822,103.59,103.867,49.52,201
43466,2019,1,925.85,220.824,182.495,17.771,52.38,418.47,39.485,216.404,196.49,949.921,200.524,442.541,202.532,185.25,103.3023,51.38,199.1
43497,2019,2,867.135,203.751,177.581,16.382,56.333,389.213,35.551,201.456,176.081,880.451,182.501,402.53,184.478,185.08,102.728,54.95,199.2
43525,2019,3,986.27,234.504,192.41,18.061,83.916,420.284,38.429,229.506,189.445,997.161,196.187,431.175,196.56,187.66,102.8635,58.15,200.8
43556,2019,4,1021.269,247.739,191.157,16.386,95.079,404.574,35.559,257.491,177.858,1037.089,198.855,420.394,185.979,83.42,102.2543,63.86,202.1
43586,2019,5,1062.711,284.8,207.561,17.342,101.999,429.004,36.011,229.565,185.432,1071.009,207.892,437.302,193.399,140.1,102.4519,60.83,201.7
43617,2019,6,994.983,250.032,199.701,17.047,109.8,418.221,36.19,199.881,182.331,1007.147,202.522,430.385,191.674,137.02,102.384,54.66,200.3
43647,2019,7,982.415,221.515,204.56,17.641,112.92,433.531,36.537,196.807,192.434,995.467,209.256,446.584,200.79,95.56,102.0568,57.35,200.7
43678,2019,8,936.603,201.063,200.411,17.799,109.037,430.799,37.001,177.904,193.388,949.779,203.136,443.975,203.838,140.97,102.6882,54.81,199.2
43709,2019,9,898.605,164.972,186.172,17.398,95.227,402.716,34.604,218.292,181.94,909.946,187.792,414.057,191.661,629.02,102.3143,56.95,198.4
43739,2019,10,930.504,163.013,199.018,15.554,84.77,421.169,37.279,245.996,184.872,938.857,198.629,429.523,193.614,164.76,101.4645,53.96,198.6
43770,2019,11,897.482,180.038,195.441,13.978,62.853,416.347,36.963,224.267,183.943,909.319,197.895,428.183,193.326,157.05,101.9876,57.03,199
43800,2019,12,932.319,191.263,204.262,15.927,52.794,435.072,38.836,237.263,191.974,948.992,210.928,451.744,201.98,264.05,101.6179,59.88,199
43831,2020,1,957.331,214.92,194.263,15.446,62.988,417.269,39.66,246.709,183.346,979.445,209.227,439.382,190.496,268.8,101.0918,57.52,199.3
43862,2020,2,965.792,226.941,182.967,15.824,75.863,391.778,36.438,255.386,172.373,983.569,192.611,409.555,180.506,215.66,101.3247,50.54,196.7
43891,2020,3,962.447,208.999,168.736,18.232,91.046,386.947,39.023,257.222,179.188,993.709,189.976,418.209,189.209,316.62,97.4477,29.21,193.1
43922,2020,4,915.11,203.484,119.495,17.302,108.875,324.433,36.51,261.016,168.427,922.759,118.761,332.081,176.81,390.78,84.2018,16.55,185.5
43952,2020,5,1021.733,262.981,152.857,17.33,128.736,363.731,37.236,248.956,173.638,1020.882,143.97,362.879,181.673,177.38,85.8434,28.56,188.6
43983,2020,6,1036.794,245.639,180.086,16.383,128.76,380.96,34.279,265.053,166.595,1037.679,171.398,381.845,176.168,174.99,91.1622,38.31,191.2
44013,2020,7,984.307,234.606,185.308,17.058,138.551,393.487,35.906,200.605,172.272,993.568,187.423,402.748,179.419,224.2,94.8887,40.71,193
44044,2020,8,941.938,204.267,182.457,16.985,125.062,393.587,36.432,202.036,174.699,953.474,185.444,405.123,183.247,204.27,95.8924,42.34,194.3
44075,2020,9,872.602,163.869,181.738,16.505,106.25,382.567,34.251,203.411,166.578,883.11,182.066,393.075,176.758,217.45,95.6019,39.63,195.5
44105,2020,10,917.124,165.024,177.549,16.674,96.461,386.104,36.323,252.861,172.232,937.063,188.717,406.043,181.003,340.73,96.6454,39.4,196.5
44136,2020,11,960.939,183.291,183.574,17.476,78.445,391.082,35.73,290.644,171.777,979.21,192.958,409.352,180.663,354.7,97.1609,40.94,198.3
44166,2020,12,966.663,188.688,190.829,17.685,70.414,409.045,37.944,280.829,180.272,982.997,195.958,425.38,191.478,378.94,98.2854,47.02,200.5
44197,2021,1,972.562,226.461,164.606,17.429,77.82,383.756,38.273,267.095,180.877,1002.052,185.553,413.246,189.42,261.52,99.4076,52,204.8
44228,2021,2,871.647,189.701,148.999,16.404,85.958,343.896,33.979,235.689,160.918,879.302,147.769,351.551,169.804,257.23,96.3966,59.04,210.6
44256,2021,3,1082.862,189.267,190.833,16.348,122.415,404.471,37.967,350.361,175.671,1092.268,189.077,413.877,186.832,181.23,99.1618,62.33,215
44287,2021,4,1026.434,168.449,180.457,16.577,141.081,382.994,35.715,317.334,166.822,1036.825,181.624,393.384,176.045,121.45,99.2416,61.72,217.9
44317,2021,5,1088.369,199.952,202.417,17.379,158.56,418.151,36.796,294.326,178.939,1096.106,201.68,425.888,187.412,126.32,99.9226,65.17,224.9
44348,2021,6,1020.538,211.216,195.706,17.623,155.17,403.112,34.082,233.416,173.324,1031.691,195.807,414.266,184.377,145.76,100.4704,71.38,228.9
44378,2021,7,974.18,194.009,198.1,17.633,156.893,416.713,35.587,188.932,183.026,986.802,202.84,429.335,190.908,113.71,101.1676,72.49,231.85
44409,2021,8,997.035,183.85,194.428,17.345,152.963,407.955,35.122,234.922,178.405,1003.261,189.777,414.181,189.282,143.07,101.0927,67.73,233.415
44440,2021,9,956.273,157.616,181.596,17.141,141.19,388.838,34.703,251.488,172.539,965.551,179.835,398.116,183.578,197.78,99.8606,71.65,235.678
44470,2021,10,998.064,158.88,209.235,16.89,119.878,417.895,35.386,284.522,173.275,1007.273,209.941,427.104,181.778,190.33,101.2169,81.48,240.465
44501,2021,11,1014.938,179.146,200.978,17.036,101.216,401.297,35.497,316.242,164.822,1035.582,211.856,421.941,174.588,383.52,102.0298,79.15,243.272
